id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
11703,80632,Call of Duty: Infinite Warfare - Jackal Assault,NULL,2016-04-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13694,83727,Call of Duty: Black Ops 4,NULL,2018-10-12 00:00:00.000,60,7,83.5000,21,68.2965,106
18346,18968,Call of Duty: Infinite Warfare,NULL,2016-11-04 00:00:00.000,122,13,77.2400,32,71.1336,256
22367,621,Call of Duty,NULL,2003-10-29 00:00:00.000,186,NULL,86.6667,4,82.4099,541
22385,119177,Call Of Duty: Modern Warfare,NULL,2019-10-25 00:00:00.000,80,20,78.6667,17,81.6514,191
22438,622,Call of Duty 2,Call of Duty 2 contains four individual campaigns that are split into three stories. Each story concerns a World War II soldier overcoming insurmountable odds in the war.,2005-10-25 00:00:00.000,291,NULL,84.4000,5,84.5957,730
25176,52718,Call of Duty Definitive Collection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25794,27955,Call of Duty: Black Ops II - Hardened Edition,NULL,2012-11-13 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
25801,42896,Call of Duty: Infinite Warfare - Legacy Edition,NULL,2016-11-04 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
27897,77267,Call of Duty: Black Ops Zombies,NULL,2011-12-01 00:00:00.000,NULL,NULL,NULL,NULL,90.0000,3
29494,30717,Call of Duty: Black Ops III - Digital Deluxe Edition,"The Giant Bonus Map: Zombies returns in all of its undead glory with ""The Giant"". Re-live the chaos of Treyarch's classic ""Der Riese"" Zombies map, picking up the Zombies story with Dempsey, Nikolai, Richtofen, and Takeo where Origins left off.",2015-11-05 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
29561,29164,Call of Duty: Black Ops III - Gold Edition,NULL,2015-11-06 00:00:00.000,1,NULL,NULL,NULL,80.0000,3
29761,136074,Call of Duty: Black Ops II - Nuketown 2025 Edition,"The non-linear storyline will see you battling during a futuristic Cold War, as well as tackling flashbacks from historical missions and playing as various members of the Mason family. Every decision you make during this story will affect future consequences, giving you a different experience every time you play.",2012-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31478,102069,Call of Duty: Black Ops 4 - Specialist Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36649,41625,Call of Duty: Infinite Warfare - Legacy Pro Edition,The Legacy Pro Edition of Call of Duty: Infinite Warfare comes in a SteelBook case and includes:    - Modern Warfare Remastered  - Season Pass  - The official game soundtrack  - Extra digital content in Infinite Warfare,2016-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
37207,42948,Call of Duty: Black Ops III - Juggernog Edition,NULL,2015-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48853,11202,Call of Duty: Black Ops II - Digital Deluxe Edition,NULL,2012-11-13 00:00:00.000,NULL,NULL,81.0000,0,NULL,NULL
49583,11499,Call of Duty: WWII - Pro Edition,NULL,2017-11-03 00:00:00.000,6,4,60.0000,0,NULL,NULL
55884,136209,Call of Duty: Modern Warfare Collection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62276,120543,Call of Duty: Trilogy,NULL,2008-02-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62308,47466,Call of Duty 3: Gold Edition,"Call of Duty 3 is a historic first-person shooter that takes place during World War II. The single player campaign is modeled after the Normandy breakout, where the British, Canadian, American, Polish, and French Resistance forces pushed into the village of Chambois, France, also known as the Falaise Gap.",2007-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65429,102718,Call of Duty: Advanced Warfare - Atlas Pro Edition,NULL,2014-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66594,21865,Call of Duty: Black Ops II,NULL,2012-11-18 00:00:00.000,NULL,NULL,83.0000,3,NULL,NULL
67462,118547,Call of Duty: Black Ops 4 - Spectre Rising Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70479,154705,Call of Duty: Modern Warfare 2 - Hardened Edition,NULL,2009-11-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70825,154707,Call of Duty: Modern Warfare 2 - Veteran Edition,NULL,2009-11-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75114,136342,Call of Duty: Modern Warfare - Precision Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78397,113383,Call of Duty: Legends of War,NULL,2018-12-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78947,119894,Call of Duty: Modern Warfare - Operator Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82291,119160,Call of Duty 2,NULL,2006-12-31 00:00:00.000,NULL,NULL,NULL,NULL,57.9169,9
82356,24920,Call of Duty: Modern Warfare Remastered,NULL,2016-11-04 00:00:00.000,39,NULL,86.8889,10,78.3127,142
82384,949,Call of Duty 3,"Call of Duty 3 is a historic first-person shooter that takes place during World War II. The single player campaign is modeled after the Normandy breakout, where the British, Canadian, American, Polish, and French Resistance forces pushed into the village of Chambois, France, also known as the Falaise Gap.",2006-11-07 00:00:00.000,44,NULL,73.8000,6,71.1705,211
86458,134229,Call of Duty: Modern Warfare - Dark Edition,NULL,2019-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88001,8548,Call of Duty: Black Ops - Declassified,NULL,2012-11-13 00:00:00.000,2,NULL,42.7500,4,59.4529,10
94536,60777,Call of Duty: Heroes,NULL,2014-11-26 00:00:00.000,1,NULL,NULL,NULL,59.8415,5
96300,135985,Call of Duty: Black Ops 4 - Mystery Box Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96770,19836,Call of Duty: World at War - Final Fronts,"The Game has 4 campaigns: War in the Pacific, Winter Offensive, Victory in Europe, and Victory in the Pacific. The player takes on the role of a marine in the Pacific campaigns and both British and American soldiers in the European campaign. Unlike the PC ""World at War"" titles, Final Fronts has a training level. The War in the Pacific and Victory in the Pacific Campaigns see Private Joe Miller (a reference to World at War protagonist C. Miller) and his fellow soldiers Sgt. Roebuck and Pvt. Polonsky (also in World at War) fight their way through Japanese defenses on Guadalcanal, Betio, Saipan, and Okinawa. A major difference in the American campaign from World at War is the fact that both Roebuck and Polonsky survive the final battle for Okinawa (also, Sgt. Roebuck shares a similar character model to Sgt. Dixon from Call of Duty 3). The Winter Offensive and Victory in the Europe campaigns have three protagonists: Pvt. Lucas Gibson of the US 80th Infantry Division of George S. Patton's Third Army, Pvt. Tom Sharpe of the British 6th Airborne Division, and Gunnery Sergeant Alex McCall of the US 4th Armored Division. The Winter Offensive campaign sees the Americans and British move to relieve the city of Bastogne (while the 80th take Ettelbruck in Luxembourg), and the Victory in Europe campaign sees the British 6th Airborne Division capture the town of Weser during Operation Varsity and the Americans capture Adolf Hitler's birthplace of Braunau-am-Inn in Austria.",2008-11-10 00:00:00.000,NULL,NULL,NULL,NULL,61.3410,7
97142,139887,Call of Duty: Black Ops Cold War - Ultimate Edition,"As elite operatives, you will follow the trail of a shadowy figure named Perseus who is on a mission to destabilize the global balance of power and change the course of history. Descend into the dark center of this global conspiracy alongside iconic characters Woods, Mason and Hudson and a new cast of operatives attempting to stop a plot decades in the making.",2020-12-16 00:00:00.000,1,NULL,76.0000,1,NULL,NULL
97431,135294,Call of Duty 4: Modern Warfare,NULL,2007-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97440,21198,Call of Duty: Modern Warfare - Mobilized,NULL,2009-11-10 00:00:00.000,1,NULL,69.0000,2,68.0000,3
97471,42975,Call Of Duty: Modern Warfare Trilogy,NULL,2016-12-31 00:00:00.000,NULL,NULL,NULL,NULL,85.0000,2
97596,47425,Call of Duty: Modern Warfare 3 - Hardened Edition,NULL,2011-12-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97597,99951,Call of Duty: Modern Warfare 3 - Ultimate Edition,NULL,2013-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97780,119895,Call of Duty: Modern Warfare - Operator Enhanced Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98040,89115,Call of Duty: Zombies HD,NULL,2009-11-16 00:00:00.000,NULL,NULL,NULL,NULL,80.0000,2
98070,118925,Call of Duty: Black Ops - Gold Edition,NULL,2015-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98889,102078,Call of Duty: Ghosts - Prestige Edition,NULL,2013-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
